Date,Symbol,Open,High,Low,Close,Adj Close,Volume
8/8/2013,AAPL,66.265717,66.300003,65.421425,65.858574,54.150658,63944300
8/9/2013,AAPL,65.519997,65.779999,64.807144,64.921425,53.380112,66716300
8/12/2013,AAPL,65.265717,66.949997,65.232857,66.765717,54.896542,91108500
8/13/2013,AAPL,67.277145,70.665718,66.864288,69.938568,57.505344,220485300
8/14/2013,AAPL,71.125717,72.035713,70.485718,71.214287,58.554276,189093100
8/15/2013,AAPL,70.917145,71.771431,69.868568,71.129997,58.484966,122573500
8/16/2013,AAPL,71.449997,71.848572,71.265717,71.761429,59.004147,90576500
8/19/2013,AAPL,72.048569,73.391426,72,72.534286,59.639614,127629600
8/20/2013,AAPL,72.815712,72.938568,71.545715,71.581429,58.856155,89672100
8/21/2013,AAPL,71.941429,72.449997,71.599998,71.765717,59.007671,83969900
8/22/2013,AAPL,72.139999,72.227142,71.171425,71.851425,59.078148,61051900
8/23/2013,AAPL,71.895714,71.907143,71.335716,71.574287,58.850273,55682900
8/26/2013,AAPL,71.535713,72.885712,71.5,71.852859,59.079327,82741400
8/27/2013,AAPL,71.14286,71.78714,69.471428,69.798569,57.390232,106047200
8/28/2013,AAPL,69.428574,70.828575,69.428574,70.128571,57.661564,76902000
8/29/2013,AAPL,70.235718,70.928574,70.16143,70.242859,57.755524,59914400
8/30/2013,AAPL,70.285713,70.421425,69.5,69.602859,57.229309,68074300
9/3/2013,AAPL,70.442856,71.514282,69.621429,69.797142,57.389057,82982200
9/4/2013,AAPL,71.365715,71.748573,70.897141,71.241432,58.576588,86258200
9/5/2013,AAPL,71.464287,71.525711,70.519997,70.752853,58.174866,59091900
9/6/2013,AAPL,71.205711,71.339996,69.992859,71.174286,58.521381,89881400
9/9/2013,AAPL,72.14286,72.559998,71.925713,72.309998,59.455212,85171800
9/10/2013,AAPL,72.314285,72.492859,69.928574,70.662857,58.100861,185798900
9/11/2013,AAPL,66.715714,67.669998,66.401428,66.815712,54.937645,224674100
9/12/2013,AAPL,66.928574,67.914284,66.572861,67.527145,55.522602,101012800
9/13/2013,AAPL,67.048569,67.404289,66.385712,66.414284,54.607578,74708900
9/16/2013,AAPL,65.85714,65.944283,63.888573,64.302856,52.87151,135926700
9/17/2013,AAPL,63.994286,65.672859,63.92857,65.045715,53.4823,99845200
9/18/2013,AAPL,66.168571,66.621429,65.808571,66.382858,54.581741,114215500
9/19/2013,AAPL,67.242859,67.975716,67.035713,67.471428,55.476803,101135300
9/20/2013,AAPL,68.285713,68.364288,66.571426,66.772858,54.902412,174825700
9/23/2013,AAPL,70.871429,70.987144,68.942856,70.091431,57.631035,190526700
9/24/2013,AAPL,70.697144,70.781425,69.688568,69.871429,57.450146,91086100
9/25/2013,AAPL,69.885712,69.94857,68.775711,68.790001,56.560963,79239300
9/26/2013,AAPL,69.428574,69.794289,69.128571,69.459999,57.111843,59305400
9/27/2013,AAPL,69.111427,69.238571,68.674286,68.964287,56.704269,57010100
9/30/2013,AAPL,68.178574,68.808571,67.772858,68.10714,55.999493,65039100
10/1/2013,AAPL,68.349998,69.877144,68.339996,69.708572,57.316231,88470900
10/2/2013,AAPL,69.375717,70.257141,69.10714,69.937141,57.504166,72296000
10/3/2013,AAPL,70.072861,70.335716,68.677139,69.058571,56.781784,80688300
10/4/2013,AAPL,69.122856,69.228569,68.371429,69.004288,56.737148,64717100
10/7/2013,AAPL,69.508568,70.378571,69.335716,69.678574,57.291565,78073100
10/8/2013,AAPL,69.991432,70.091431,68.648575,68.705711,56.491661,72729300
10/9/2013,AAPL,69.234283,69.684288,68.325714,69.512856,57.155315,75431300
10/10/2013,AAPL,70.188568,70.339996,69.577141,69.94857,57.513561,69650700
10/11/2013,AAPL,69.57,70.548569,69.308571,70.401428,57.885921,66934700
10/14/2013,AAPL,69.975716,71.082855,69.907143,70.862854,58.265316,65474500
10/15/2013,AAPL,71.072861,71.714287,70.788574,71.239998,58.575417,80018400
10/16/2013,AAPL,71.541428,71.790001,71.318573,71.587143,58.860844,62775300
10/17/2013,AAPL,71.425713,72.111427,71.382858,72.071426,59.259037,63398300
10/18/2013,AAPL,72.284286,72.751427,72.244286,72.69857,59.774693,72635500
